restaurant_name,cuisines,avg_cost_for_two,has_table_booking,has_online_delivery,price_range,rating,votes
Nowhere Terrace Brewpub Cafe,Multicuisine,1600,True,False,3,4.1,214
Cafe G - Crowne Plaza,Multicuisine,3500,True,False,4,3.9,181
Wildfire - Crowne Plaza,American,5000,True,False,4,3.7,131
Isabella,Multicuisine,700,False,True,2,2.8,191
Fatburger,Multicuisine,1000,True,True,3,3.3,793
Burma Burma,Multicuisine,1500,True,False,3,4.6,563
Pier 38,Multicuisine,1200,False,False,3,4.6,177
Yum Yum Cha,Multicuisine,1800,False,False,3,4.5,407
Amici Cafe,Multicuisine,1200,True,True,3,3.7,647
Au Bon Pain,Cafe,600,False,True,2,3.7,503
California Pizza Kitchen,Italian,2500,True,True,4,3.7,980
Chai Point,Fast Food,200,False,True,1,3.7,544
Cherry Comet,Multicuisine,400,False,True,1,3.6,455
Circus,Multicuisine,1250,True,False,3,3.9,230
Dunkin' Donuts,Fast Food,600,False,True,2,3.8,701
Holy Smoke,American,1800,True,False,3,3.6,313
Italiano,Italian,1500,True,False,3,3.6,625
Krispy Kreme,Multicuisine,350,False,True,1,3.9,425
Not Just Paranthas,North Indian,1100,False,False,3,3.6,734
Oh! Calcutta,Multicuisine,1700,True,True,3,3.8,706
Olive Bistro,Multicuisine,2000,True,False,4,3.9,1490
Pita Pit,Healthy Food,600,False,True,2,3.9,870
Raasta,Multicuisine,2000,True,True,4,3.8,1065
Red Mango,Cafe,700,False,True,2,3.6,365
Rred Hot Asian Bistro,Multicuisine,1400,True,True,3,3.5,384
Smaaash,Multicuisine,1400,False,False,3,3.9,622
Starbucks,Cafe,700,False,False,2,3.9,560
Sutra Gastropub,Multicuisine,2300,False,False,4,3.8,1046
Taco Bell,Fast Food,550,False,True,2,3.8,176
The People & Co.,Multicuisine,1700,True,False,3,3.7,173
Theobroma,Cafe,600,False,True,2,3.8,227
Wendy's,Fast Food,400,False,True,1,3.9,296
The Wine Company,Multicuisine,2000,True,False,4,2.4,2412
Cafe Delhi Heights,Multicuisine,2000,False,False,4,4.0,1840
Cyber Hub Social,Multicuisine,1500,True,True,3,4.3,716
Delifrance - The France Cafe Bakery,Cafe,800,True,True,2,4.0,199
Dhaba By Claridges,North Indian,2000,True,True,4,4.0,1658
Farzi Cafe,Modern Indian,2200,False,False,4,4.3,4385
Hard Rock Cafe,Multicuisine,2500,True,False,4,4.1,1949
Instapizza,Fast Food,900,True,True,2,4.0,219
Made In Punjab,North Indian,1500,True,False,3,4.0,1595
Nando's,Multicuisine,1200,True,True,3,4.0,1730
Quaff,Multicuisine,1750,True,False,3,4.1,353
SodaBottleOpenerWala,Multicuisine,1300,False,False,3,4.0,2843
The Grill Mill,Multicuisine,1500,True,False,3,4.0,209
Knight Rider,Multicuisine,1200,True,False,3,3.1,185
Chaayos,Multicuisine,400,False,True,1,3.8,393
Nooba,Chinese,1500,False,False,3,3.8,333
Domino's Pizza,Fast Food,700,False,False,2,2.4,125
Indigo Delicatessen,European,1800,True,True,3,4.2,205
Escape Terrace Bar Kitchen,Finger Food,1700,True,False,3,3.4,294
Kwaliti,Fast Food,700,False,True,2,3.3,129
Subway,Fast Food,500,False,False,2,2.5,125
Burger Point,Fast Food,300,False,True,1,3.8,74
